country,continent,year,lifeExp,pop,gdpPercap
Algeria,Africa,2002,70.994,31287142,5288.040382
Algeria,Africa,2007,72.301,33333216,6223.367465
Angola,Africa,2002,41.003,10866106,2773.287312
Angola,Africa,2007,42.731,12420476,4797.231267
Benin,Africa,2002,54.406,7026113,1372.877931
Benin,Africa,2007,56.728,8078314,1441.284873
Botswana,Africa,2002,46.634,1630347,11003.60508
Botswana,Africa,2007,50.728,1639131,12569.85177
Burkina Faso,Africa,2002,50.65,12251209,1037.645221
Burkina Faso,Africa,2007,52.295,14326203,1217.032994
Burundi,Africa,2002,47.36,7021078,446.4035126
Burundi,Africa,2007,49.58,8390505,430.0706916
Cameroon,Africa,2002,49.856,15929988,1934.011449
Cameroon,Africa,2007,50.43,17696293,2042.09524
Central African Republic,Africa,2002,43.308,4048013,738.6906068
Central African Republic,Africa,2007,44.741,4369038,706.016537
Chad,Africa,2002,50.525,8835739,1156.18186
Chad,Africa,2007,50.651,10238807,1704.063724
Comoros,Africa,2002,62.974,614382,1075.811558
Comoros,Africa,2007,65.152,710960,986.1478792
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,241.1658765
"Congo, Dem. Rep.",Africa,2007,46.462,64606759,277.5518587
"Congo, Rep.",Africa,2002,52.97,3328795,3484.06197
"Congo, Rep.",Africa,2007,55.322,3800610,3632.557798
Cote d'Ivoire,Africa,2002,46.832,16252726,1648.800823
Cote d'Ivoire,Africa,2007,48.328,18013409,1544.750112
Djibouti,Africa,2002,53.373,447416,1908.260867
Djibouti,Africa,2007,54.791,496374,2082.481567
Egypt,Africa,2002,69.806,73312559,4754.604414
Egypt,Africa,2007,71.338,80264543,5581.180998
Equatorial Guinea,Africa,2002,49.348,495627,7703.4959
Equatorial Guinea,Africa,2007,51.579,551201,12154.08975
Eritrea,Africa,2002,55.24,4414865,765.3500015
Eritrea,Africa,2007,58.04,4906585,641.3695236
Ethiopia,Africa,2002,50.725,67946797,530.0535319
Ethiopia,Africa,2007,52.947,76511887,690.8055759
Gabon,Africa,2002,56.761,1299304,12521.71392
Gabon,Africa,2007,56.735,1454867,13206.48452
Gambia,Africa,2002,58.041,1457766,660.5855997
Gambia,Africa,2007,59.448,1688359,752.7497265
Ghana,Africa,2002,58.453,20550751,1111.984578
Ghana,Africa,2007,60.022,22873338,1327.60891
Guinea,Africa,2002,53.676,8807818,945.5835837
Guinea,Africa,2007,56.007,9947814,942.6542111
Guinea-Bissau,Africa,2002,45.504,1332459,575.7047176
Guinea-Bissau,Africa,2007,46.388,1472041,579.231743
Kenya,Africa,2002,50.992,31386842,1287.514732
Kenya,Africa,2007,54.11,35610177,1463.249282
Lesotho,Africa,2002,44.593,2046772,1275.184575
Lesotho,Africa,2007,42.592,2012649,1569.331442
Liberia,Africa,2002,43.753,2814651,531.4823679
Liberia,Africa,2007,45.678,3193942,414.5073415
Libya,Africa,2002,72.737,5368585,9534.677467
Libya,Africa,2007,73.952,6036914,12057.49928
Madagascar,Africa,2002,57.286,16473477,894.6370822
Madagascar,Africa,2007,59.443,19167654,1044.770126
Malawi,Africa,2002,45.009,11824495,665.4231186
Malawi,Africa,2007,48.303,13327079,759.3499101
Mali,Africa,2002,51.818,10580176,951.4097518
Mali,Africa,2007,54.467,12031795,1042.581557
Mauritania,Africa,2002,62.247,2828858,1579.019543
Mauritania,Africa,2007,64.164,3270065,1803.151496
Mauritius,Africa,2002,71.954,1200206,9021.815894
Mauritius,Africa,2007,72.801,1250882,10956.99112
Morocco,Africa,2002,69.615,31167783,3258.495584
Morocco,Africa,2007,71.164,33757175,3820.17523
Mozambique,Africa,2002,44.026,18473780,633.6179466
Mozambique,Africa,2007,42.082,19951656,823.6856205
Namibia,Africa,2002,51.479,1972153,4072.324751
Namibia,Africa,2007,52.906,2055080,4811.060429
Niger,Africa,2002,54.496,11140655,601.0745012
Niger,Africa,2007,56.867,12894865,619.6768924
Nigeria,Africa,2002,46.608,119901274,1615.286395
Nigeria,Africa,2007,46.859,135031164,2013.977305
Reunion,Africa,2002,75.744,743981,6316.1652
Reunion,Africa,2007,76.442,798094,7670.122558
Rwanda,Africa,2002,43.413,7852401,785.6537648
Rwanda,Africa,2007,46.242,8860588,863.0884639
Sao Tome and Principe,Africa,2002,64.337,170372,1353.09239
Sao Tome and Principe,Africa,2007,65.528,199579,1598.435089
Senegal,Africa,2002,61.6,10870037,1519.635262
Senegal,Africa,2007,63.062,12267493,1712.472136
Sierra Leone,Africa,2002,41.012,5359092,699.489713
Sierra Leone,Africa,2007,42.568,6144562,862.5407561
Somalia,Africa,2002,45.936,7753310,882.0818218
Somalia,Africa,2007,48.159,9118773,926.1410683
South Africa,Africa,2002,53.365,44433622,7710.946444
South Africa,Africa,2007,49.339,43997828,9269.657808
Sudan,Africa,2002,56.369,37090298,1993.398314
Sudan,Africa,2007,58.556,42292929,2602.394995
Swaziland,Africa,2002,43.869,1130269,4128.116943
Swaziland,Africa,2007,39.613,1133066,4513.480643
Tanzania,Africa,2002,49.651,34593779,899.0742111
Tanzania,Africa,2007,52.517,38139640,1107.482182
Togo,Africa,2002,57.561,4977378,886.2205765
Togo,Africa,2007,58.42,5701579,882.9699438
Tunisia,Africa,2002,73.042,9770575,5722.895655
Tunisia,Africa,2007,73.923,10276158,7092.923025
Uganda,Africa,2002,47.813,24739869,927.7210018
Uganda,Africa,2007,51.542,29170398,1056.380121
Zambia,Africa,2002,39.193,10595811,1071.613938
Zambia,Africa,2007,42.384,11746035,1271.211593
Zimbabwe,Africa,2002,39.989,11926563,672.0386227
Zimbabwe,Africa,2007,43.487,12311143,469.7092981
